iter: 4750, rank1: 0.734, rank2: 0.833, rank4: 0.898, rank8: 0.945, rank16: 0.971, rank32: 0.986
iter: 5000, rank1: 0.729, rank2: 0.830, rank4: 0.897, rank8: 0.943, rank16: 0.971, rank32: 0.987
iter: 5250, rank1: 0.729, rank2: 0.828, rank4: 0.897, rank8: 0.943, rank16: 0.973, rank32: 0.987
iter: 5500, rank1: 0.731, rank2: 0.832, rank4: 0.900, rank8: 0.944, rank16: 0.972, rank32: 0.987
iter: 5750, rank1: 0.731, rank2: 0.834, rank4: 0.897, rank8: 0.947, rank16: 0.972, rank32: 0.986
iter: 6000, rank1: 0.736, rank2: 0.836, rank4: 0.901, rank8: 0.945, rank16: 0.971, rank32: 0.986
iter: 6250, rank1: 0.739, rank2: 0.837, rank4: 0.900, rank8: 0.946, rank16: 0.971, rank32: 0.985
iter: 6500, rank1: 0.736, rank2: 0.836, rank4: 0.901, rank8: 0.946, rank16: 0.972, rank32: 0.986
iter: 6750, rank1: 0.738, rank2: 0.838, rank4: 0.901, rank8: 0.948, rank16: 0.973, rank32: 0.986
iter: 7000, rank1: 0.740, rank2: 0.838, rank4: 0.902, rank8: 0.948, rank16: 0.973, rank32: 0.986
iter: 7250, rank1: 0.739, rank2: 0.839, rank4: 0.903, rank8: 0.946, rank16: 0.973, rank32: 0.986
iter: 7500, rank1: 0.739, rank2: 0.838, rank4: 0.902, rank8: 0.946, rank16: 0.973, rank32: 0.987
iter: 7750, rank1: 0.742, rank2: 0.838, rank4: 0.902, rank8: 0.946, rank16: 0.973, rank32: 0.987
iter: 8000, rank1: 0.740, rank2: 0.836, rank4: 0.900, rank8: 0.946, rank16: 0.971, rank32: 0.985
iter: 8250, rank1: 0.739, rank2: 0.834, rank4: 0.901, rank8: 0.946, rank16: 0.973, rank32: 0.987
iter: 8500, rank1: 0.738, rank2: 0.835, rank4: 0.901, rank8: 0.945, rank16: 0.973, rank32: 0.985
iter: 8750, rank1: 0.737, rank2: 0.836, rank4: 0.902, rank8: 0.946, rank16: 0.973, rank32: 0.986
iter: 9000, rank1: 0.738, rank2: 0.836, rank4: 0.900, rank8: 0.947, rank16: 0.974, rank32: 0.986
iter: 9250, rank1: 0.737, rank2: 0.836, rank4: 0.901, rank8: 0.947, rank16: 0.973, rank32: 0.986
iter: 9500, rank1: 0.737, rank2: 0.834, rank4: 0.901, rank8: 0.947, rank16: 0.973, rank32: 0.987
iter: 9750, rank1: 0.736, rank2: 0.836, rank4: 0.900, rank8: 0.946, rank16: 0.973, rank32: 0.986
iter: 10000, rank1: 0.737, rank2: 0.833, rank4: 0.901, rank8: 0.946, rank16: 0.972, rank32: 0.986
